,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.85,ttFatJetParTXtauhtaumvsQCDTop >= 0.99
JetMET,30312.0,29603.0,24029.0,1211.0,1.0
Tau,1866.0,1848.0,903.0,46.0,1.0
Muon,5068.0,4977.0,3696.0,89.0,0.0
QCD Multijet,8478.109954053045,8281.395309477086,3932.5586493638543,240.82608798332905,0.0
TT Had,350.5204027255555,338.0721471655553,261.8300558237129,16.460554464785258,0.0
TT SL,16173.187947395016,15946.998608242517,15056.075649358701,482.2682198582429,0.11874235329269939
TT LL,4429.37792572573,4353.263110032564,4092.3177977083956,188.32807698842575,0.3354526815383002
DY+Jets,1300.2614187250197,1284.0944688652016,1215.7809277063816,30.52410204096163,1.3149221518000014
W+Jets,172.09717772748587,162.46318847221892,99.3607691958511,-0.1713499396757567,0.0
Z+Jets,121.38799962172423,116.65185020412264,51.64743648467132,12.197547475489035,0.0
Hbb,13.563219269171498,13.332828010596671,10.829363086784642,5.798838816223112,0.04712781999850198
ggF HHbb$\tau_h \mu$,0.05401487054660512,0.05299481310778072,0.049116284384335185,0.02961395463044643,0.015594612428037582
VBF HHbb$\tau_h \mu$ (SM),0.0010849427096098108,0.0010410069897815418,0.0009306194123144614,0.0005187834975641746,0.0002834397691591752
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),0.5430273333078257,0.5371944642091879,0.5082150026775111,0.3599992686065254,0.27355096543411356
